不思議の国のアリス																																																												
																																																												
	スペクターの影響により、闇落ちしたアリスが物語の中の世界を支配している																																																											
																																	もう怪物はこりごりだー！																											
																																																												
										ドードー鳥																							火を放って家を焼こうと思ったけど、私ではとてもできそうにないんだ																											
																																	ん？女の子を見なかったって？																											
																																	いたような気もするし、いなかった気もするなー																											
																																	あの怪物を何とかできたらわかると思うのだけど…																											
																																																												
																																	【主人公が応じる】																											
																																																												
																																	そうかい！あんたならあの怪物をなんとかすることができるのだね？																											
																																	それじゃあよろしく頼むよ																											
																																																												
	ボス戦前									トゥイードル・ディー&トゥイードル・ダム																							ネェ、ボクタチトアソバナイ？																											
																																	カイブツアソビシヨウ！																											
																																																												
	ボス戦後									トゥイードル・ディー&トゥイードル・ダム																							あれ？僕たちは何をしてたんだ？																											
																																																												
																																	【主人公が事情を話す】																											
																																																												
																																	そっかー、あの変な生き物のせいで僕たちおかしくなっちゃってたんだ																											
																																	覚えてないけど、なんか楽しかったなー																											
																																	え？女の子をみてないかって？																											
																																	あっちの森のほうで見かけたきがする																											
																																	遊んでほしかったけどしかたないねー																											
																																	カキは好奇心が強かった、その挙句にあの悲劇を起こしてしまった																											
																																	君はカキのような悲劇にあわないように気をつけるんだよ																											
																																																												
																																																												
	ステージ4									森																																																		
	シーン									登場キャラ																							セリフ																											
																																																												
	ゲーム開始前									おしゃべりな花																							またきたわ、変な茎のお花が																											
																																																												
																																	【主人公が応じる】																											
																																																												
																																	前にもあなたみたいな雑草がきたわ、																											
																																	他にも変な生き物がでてきて森の様子がおかしくなってるわ、これも雑草のせいよ！																											
																																	あなたみたいな雑草に種をまかれたら迷惑よ、早く出て行ってちょうだい！																											
																																																												
																																																												
	ボス戦前									蝶																							お前も私をバカにしにきたんだな？																											
																																	前にきた娘といい、私の大きさをバカにして…ゆるさん！																											
																																																												
																																																												
	ボス戦後									蝶																							はて、私はいままで何をしてたんだ、どうにも怒ると周りが見えなくなってしまう																											
																																	えっ、女の子？																											
																																	前にみたな、私が芋虫だったときに失礼なことをいってた…																											
																																	思い出すとまた周りが見えなくなりそうだ、私はこの辺で失礼するよ																											
																																																												
										チェシャ猫																							お困りのようですニャー？																											
																																	そのお嬢さんのことなら知ってるニャー																											
																																	どうしても見つけたいなら																											
																																	有名なイカれ帽子屋さんに聞きニャー																											
																																	…といいたいところだけど、この騒ぎじゃお茶会もやってないニャ																											
																																	あのお城に行けば何かわかるかもニャ																											
																																																												
																																																												
																																																												
																																																												
																																																												
	ステージ5									庭園																																																		
	シーン									登場キャラ																							セリフ																											
																																																												
	ゲーム開始前									マッドハッター																							たすけてくれー！首をはねられるのは嫌だー！																											
																																																												
										三月うさぎ																							たすけてくれー！マレット（木槌）の代わりなんて嫌だー！																											
																																																												
										眠りねずみ																							たすけてー…ボールの代わりなんて嫌だよう…																											
																																																												
																																																												
																																																												
																																																												
	ボス戦前									トランプ兵達																							ダレダオマエハ！																											
																																	クイーンノジャマハ･･･ユルサナイ！																											
																																																												
																																																												
	ボス戦後									トランプ兵達																							はっ！我々はいったいどうしていたんだ…																											
																																																												
																																	【主人公が事情を話す】																											
																																																												
																																	そうか…その魔物とやらのせいでおかしくなってしまってたのか																											
																																	我々は仲間の下に戻るとしよう、正気に戻してくれてありがとう																											
																																																												
										マッドハッター																							助かったよー、ありがとう！																											
																																																												
										三月うさぎ																							まさかお茶会でからかったのこんな形で仕返しされるなんて…																											
																																																												
										眠りねずみ																							怖かったよぅ…																											
																																																												
										チェシャ猫																							やあ、大変だったみたいだニャ																											
																																	もう気づいてると思うけど、アリスはクイーンとして城の中にいるニャ																											
																																	なんで早く教えなかったって？																											
																																	あんたも気づいてるだろニャ																											
																																	オイラはチェシャ猫、いたずら大好きしま模様なのニャ																											
																																																												
																																																												
	ステージ6									城の中																																																		
	シーン									登場キャラ																							セリフ																											
																																																												
	ボス戦前									アリス																							ンフフー♪私の素敵なお城にようこそー！																											
																																	ココに来ることはなんとなくわかってたよー♪																											
																																	庭園のクロッケーはどう？楽しかった？																											
																																	あの人たちワタシにイジワルしたからおしおきしたのよ																											
																																	あなたはここに何しにキタのかな？																											
																																	もしかしてあなたもワタシをイジメルつもり？																											
																																	そっかー、アナタもオシオキが必要ねー																											
																																	何がイイかなー、首をはねるだけじゃツマラナイ…																											
																																	ソウダ！ワタシノオモチャニシヨウ！																											
																																	ステキデショ？ネェ、イイヨネ？																											
																																																												
																																																												
	ボス戦後									アリス																							う…ん…																											
																																	あれ、私は一体こんなところで何をしてたのかしら？																											
																																	お城に行ってそこで変な生き物がでてきてそこから記憶が…																											
																																																												
																																	【主人公が事情を話す】																											
																																																												
																																	まぁ大変！私そんなことを！？																											
																																	みんなに謝らないと･･･																											
																																	えっ、姉さんが迎えに来てるって？																											
																																	わかったわ、みんなにお詫びしながら戻ることにするわ。																											
																																	すべてあなたのおかげよ、本当にありがとう・・・																											
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
																																																												
